"session","created","modified","ended","expired","Angry55_type","Angry130_type","Happy103_type","Happy338_type","Happy348_type","Sad59_type","Sad63_type","Sad134_type","Neutral68_type","Neutral91_type","Neutral158_type","Neutral169_type","Angry84_type","Angry55_intensity_Happy","Angry130_intensity_Happy","Happy103_intensity_Happy","Happy338_intensity_Happy","Happy348_intensity_Happy","Sad59_intensity_Happy","Sad63_intensity_Happy","Sad134_intensity_Happy","Neutral68_intensity_Happy","Neutral91_intensity_Happy","Neutral158_intensity_Happy","Neutral169_intensity_Happy","Angry84_intensity_Happy","Angry55_intensity_Sad","Angry130_intensity_Sad","Happy103_intensity_Sad","Happy338_intensity_Sad","Happy348_intensity_Sad","Sad59_intensity_Sad","Sad63_intensity_Sad","Sad134_intensity_Sad","Neutral68_intensity_Sad","Neutral91_intensity_Sad","Neutral158_intensity_Sad","Neutral169_intensity_Sad","Angry84_intensity_Sad","Angry84_intensity_Angry","Angry55_intensity_Angry","Angry130_intensity_Angry","Happy103_intensity_Angry","Happy338_intensity_Angry","Happy348_intensity_Angry","Sad59_intensity_Angry","Sad63_intensity_Angry","Sad134_intensity_Angry","age","Neutral68_intensity_Angry","Neutral91_intensity_Angry","Neutral158_intensity_Angry","Neutral169_intensity_Angry","specify_A84","specify_A55","specify_A130","specify_H103","specify_H338","specify_H348","specify_S59","specify_S63","specify_S134","gender","specify_N68","specify_N91","specify_N158","specify_N169","feedback"
"e56SAw8JQzLCfJcKRDAXupsfEFwizFtEeCklP4xrIURJAnnTrd_YG6WOwGGzKMxI","2019-04-08 19:40:47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ic2N_K0EHXkKnefujma7tjyIPGIO2pdphekaT1fnHQQrC-zVd5nz8Ux7bL9XwkdU","2019-04-08 19:40:48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"uiz7HuxmSnmZlNLv3rnoz5QtNA20qLL43MjFOimlRtqkT3_lm3--MQeLIhxvNGRW","2019-04-08 19:40:50","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GD2VMLyRPmQ4c-eORAbnVpnCluqW0HswaYgyErhdNtc_nkH17Zeeh9gz9K8fxUZR","2019-04-08 19:41:01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"lfX6IsOEHm_fN1tDBUrCLhUSaXtSvdKFKZ4y80ksINPyspgdUn-16UipV2a92VDs","2019-04-08 19:41:03","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0Ivy8p0XPFt__FdBburXQ9a6jkU6yQPPh28vkdpJjz77DiwgVnDVRk42IQQeO44a","2019-04-08 19:42:26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ns-FOYXEUAGBT_HaWyBPWrP24Fqn4grNRymUzcUX4hB8JcfFVL18pCbT560-J3NX","2019-04-08 19:48:36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YG3uTR1lkbzaWYgd8jVct_ud29Z_P4QFbpPQcYpXI_fz0i5fg6l91mieFiOiEWqu","2019-04-08 19:48:53","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"qGGd05trQpq_PumZWZS-31JY0WUBZPGJAS2Tfb2QyMs9JhVJCDHUI_w9HKo3lCVb","2019-04-08 19:49:30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GmU5oFZfjCaoS_d0QNZ2J9sx5GvuxOmCmev-VgWrS3WUqeeNQ4FuSqJyvEIg1LgQ","2019-04-08 19:49:31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
